index	gene_id	Transition_stage_Scu	Coleoptilar_stage_Col	Stage1_leaf	PSn
129	GRMZM2G702204	0.640550665	0.913908468	1.57200949	13
128	GRMZM2G512113	1.26049916	8.174040046	6.472494764	10
17	GRMZM2G029518	55.54693265	7.267266718	3.92107105	9
118	GRMZM2G423669	1.152173052	0.460232247	0.837321061	9
24	GRMZM2G042664	1.724418618	1.59940454	2.707953676	8
5	GRMZM2G004180	3.417715141	5.398166765	2.779861167	7
6	GRMZM2G005818	23.63188766	32.36134972	4.12560971	7
7	GRMZM2G008152	1.547460664	0.924724617	1.254550029	7
34	GRMZM2G069444	8.13048969	1.389006425	2.866536343	6
59	GRMZM2G112629	1.462928641	2.774594497	2.285121932	6
101	GRMZM2G178852	3.924097464	2.870990281	2.954995836	6
111	GRMZM2G389567	1.35725172	5.287526255	5.437988545	6
122	GRMZM2G435001	0.135874748	0.298550735	3.554579501	6
21	GRMZM2G038497	6.490071721	7.391447475	7.251328777	5
105	GRMZM2G329073	4.842965714	2.092993339	2.259565866	5
120	GRMZM2G429000	1.375196581	0.326738603	2.892435386	5
3	GRMZM2G004160	0.98320103	4.01894812	4.19658848	4
13	GRMZM2G023285	2.139139312	1.578857129	3.070943136	4
14	GRMZM2G023921	0.824227445	4.096906317	3.877198292	4
15	GRMZM2G027522	1.592318578	1.24556321	1.660032389	4
18	GRMZM2G034385	4.273669765	4.813515634	5.672807834	4
27	GRMZM2G048793	10.18584837	5.268099758	2.816615417	4
28	GRMZM2G051168	7.596371976	5.313356193	5.857775759	4
37	GRMZM2G077219	1.125714348	2.28512574	2.709411911	4
38	GRMZM2G078077	2.823074226	2.045424099	2.265753863	4
41	GRMZM2G081515	0.529689245	1.602732714	2.827328344	4
43	GRMZM2G086949	0.367693707	1.825133827	3.6687237	4
45	GRMZM2G091003	0.324200253	0.064075907	0.478884196	4
47	GRMZM2G092590	7.136843923	12.11732147	3.5367694	4
48	GRMZM2G092679	0.031428951	0.97000169	1.463317253	4
52	GRMZM2G098813	2.051400192	2.694375153	4.397515154	4
53	GRMZM2G101872	7.333742288	5.478475119	5.821415581	4
55	GRMZM2G104176	1.810661287	3.37894747	3.976712089	4
57	GRMZM2G109966	0.068160238	0.547098033	2.477350342	4
61	GRMZM2G114046	2.407248131	0.692069435	1.264585394	4
62	GRMZM2G118250	6.063799005	5.315897759	5.686428736	4
67	GRMZM2G128421	11.47467995	7.947143336	3.869620965	4
69	GRMZM2G130953	1.435649165	2.682599245	4.575686245	4
72	GRMZM2G136831	0.660505439	2.380753471	2.853157035	4
73	GRMZM2G139700	0.735431053	0.800437055	0.805705864	4
75	GRMZM2G140674	5.503779836	3.677528707	4.062874409	4
78	GRMZM2G147241	0.450621552	2.329151346	2.700721915	4
80	GRMZM2G150503	6.479425405	4.102413446	3.39945125	4
89	GRMZM2G163975	1.761383659	3.003170721	2.547935137	4
91	GRMZM2G166094	4.392551118	3.60220423	5.170942285	4
95	GRMZM2G169973	3.447967421	3.836832475	3.953780578	4
98	GRMZM2G173280	1.965991547	1.776118232	2.649905453	4
103	GRMZM2G301089	2.776967306	0.752605315	1.42472572	4
108	GRMZM2G360081	1.211601412	0.102132567	2.088052846	4
109	GRMZM2G377694	16.37001369	3.353482524	3.69491528	4
112	GRMZM2G393433	3.962688482	3.347158432	3.862977583	4
114	GRMZM2G401331	2.946802024	3.711827075	3.827665289	4
121	GRMZM2G430522	4.033510808	4.436523989	4.182935923	4
8	GRMZM2G008234	4.556493543	5.388439637	7.924401591	3
25	GRMZM2G045678	6.720468554	2.71499327	5.049192226	3
31	GRMZM2G059562	0.296284585	0.129441212	0.457003865	3
33	GRMZM2G069028	4.514325192	6.098814491	4.888619876	3
50	GRMZM2G097275	0.752861548	0.266866388	1.125467746	3
56	GRMZM2G108865	6.692150582	6.343193006	6.208875103	3
63	GRMZM2G119186	0.398206427	0.08273548	2.615174025	3
65	GRMZM2G122537	4.002793232	4.459336003	4.317661686	3
66	GRMZM2G123387	0.26644271	0.43890909	1.382939447	3
104	GRMZM2G307588	0.362080053	1.870156973	3.5343632	3
125	GRMZM2G460544	1.331399088	0.661600521	2.227200916	3
127	GRMZM2G480551	1.179920027	2.032383532	2.78626011	3
0	GRMZM2G000431	0.391737286	0.432546874	1.53543899	2
1	GRMZM2G001139	5.923143522	5.641095633	6.100466148	2
2	GRMZM2G003869	0.297959752	3.909454738	3.646194868	2
4	GRMZM2G004161	2.577829141	1.901703854	2.749018247	2
11	GRMZM2G017197	1.663942794	2.301341366	1.230939002	2
12	GRMZM2G021573	1.288429553	4.43457937	6.633404275	2
16	GRMZM2G028151	3.659394895	5.282995022	5.489601817	2
22	GRMZM2G040278	3.412692339	3.315357646	5.29099919	2
23	GRMZM2G040924	0.387080622	1.313680434	2.822749522	2
29	GRMZM2G051974	1.370364278	0.396601338	1.623569789	2
30	GRMZM2G058690	1.090815552	2.049129537	2.344719137	2
35	GRMZM2G071101	2.812174624	2.793685709	2.82974606	2
39	GRMZM2G079727	1.812372289	2.73060183	3.823200875	2
42	GRMZM2G084014	1.860461481	2.334084493	1.568862943	2
44	GRMZM2G090230	0.827376028	1.158895938	2.048734314	2
51	GRMZM2G098179	4.626776621	2.051625701	1.93042554	2
54	GRMZM2G102218	0.082325147	3.432842211	7.531112618	2
71	GRMZM2G133331	4.373070861	4.941646504	5.428505952	2
76	GRMZM2G142962	3.904930241	2.889841456	3.955659067	2
79	GRMZM2G149481	3.451813096	6.599115691	7.832354107	2
81	GRMZM2G151021	17.04715299	5.984891419	1.365433829	2
83	GRMZM2G151997	0.814705442	0.349348703	0.952775806	2
84	GRMZM2G154641	4.313894892	5.035212371	5.370740642	2
85	GRMZM2G158191	2.817915799	3.905516155	5.153165582	2
87	GRMZM2G160730	0.063275988	0.164749095	0.720279974	2
88	GRMZM2G163761	4.063532718	3.582212859	4.427228976	2
92	GRMZM2G166337	1.05234975	1.247633062	2.48195037	2
96	GRMZM2G170289	2.973523426	4.855618166	3.60642066	2
99	GRMZM2G176175	3.024235286	2.053084849	3.295537112	2
100	GRMZM2G178182	2.109392036	1.406922795	6.381922162	2
102	GRMZM2G179677	2.720580156	2.926445726	4.164980095	2
107	GRMZM2G354867	0.634558072	0.589096549	0.873055515	2
113	GRMZM2G397616	0.382844821	0.33664796	0.812075421	2
115	GRMZM2G402987	2.504640655	2.93822169	4.444066087	2
116	GRMZM2G409881	0.896511483	0.936755765	0.615905677	2
119	GRMZM2G428555	1.433263036	2.912836737	5.019672672	2
9	GRMZM2G008751	1.225072079	0.291069907	1.195344998	1
10	GRMZM2G009025	9.367743986	5.414169222	5.082657639	1
19	GRMZM2G036368	2.493953996	2.772528511	3.563873135	1
20	GRMZM2G037386	5.037455471	1.96177736	3.658720938	1
26	GRMZM2G047384	0.593603566	0.745144548	4.088513315	1
32	GRMZM2G062179	1.41776608	2.565143574	3.010734186	1
36	GRMZM2G074871	0.360545745	1.179869363	2.190074745	1
40	GRMZM2G081239	2.998383927	2.710320936	1.906981157	1
46	GRMZM2G091276	0.897453061	0.566396322	2.08042581	1
49	GRMZM2G096171	0.448902507	1.526172508	1.574530293	1
58	GRMZM2G111436	5.840450521	6.567616474	6.817564615	1
60	GRMZM2G113349	0.039741365	0.19954846	1.143015113	1
64	GRMZM2G119894	0.885557397	1.567218964	1.825139276	1
68	GRMZM2G129304	1.455781207	0.464604676	3.922389434	1
70	GRMZM2G131749	1.746639984	3.289030714	1.934455177	1
74	GRMZM2G139834	0.397826195	1.210440099	1.847593121	1
77	GRMZM2G146760	3.672494987	1.59197749	1.601947563	1
82	GRMZM2G151044	1.319399065	1.952080642	4.027093005	1
86	GRMZM2G158252	1.446983724	1.446983724	1.656685171	1
90	GRMZM2G165422	3.437811663	1.066177772	0.714275257	1
93	GRMZM2G166413	2.70682518	3.286676291	3.499773113	1
