	gene_id	PSn
0	AC148152.3_FG001	1
30712	GRMZM2G118597	1
30706	GRMZM2G118579	1
30695	GRMZM2G118497	1
30680	GRMZM2G118462	1
30678	GRMZM2G118441	1
30654	GRMZM2G118345	1
30648	GRMZM2G118316	1
30645	GRMZM2G118309	1
30643	GRMZM2G118286	1
30626	GRMZM2G118243	1
30624	GRMZM2G118241	1
30616	GRMZM2G118205	1
30603	GRMZM2G118074	1
30598	GRMZM2G118062	1
30592	GRMZM2G118019	1
30716	GRMZM2G118610	1
30718	GRMZM2G118628	1
30725	GRMZM2G118641	1
30801	GRMZM2G119116	1
30798	GRMZM2G119104	1
30794	GRMZM2G119079	1
30792	GRMZM2G119067	1
30790	GRMZM2G118992	1
30789	GRMZM2G118979	1
30779	GRMZM2G118950	1
30777	GRMZM2G118939	1
30775	GRMZM2G118919	1
30774	GRMZM2G118917	1
30584	GRMZM2G118005	1
30764	GRMZM2G118809	1
30763	GRMZM2G118806	1
30759	GRMZM2G118800	1
30754	GRMZM2G118770	1
30744	GRMZM2G118737	1
30743	GRMZM2G118731	1
30731	GRMZM2G118657	1
30730	GRMZM2G118646	1
30766	GRMZM2G118825	1
30583	GRMZM2G118003	1
30500	GRMZM2G117642	1
30496	GRMZM2G117632	1
30495	GRMZM2G117627	1
30493	GRMZM2G117615	1
30491	GRMZM2G117614	1
30483	GRMZM2G117609	1
30478	GRMZM2G117582	1
30475	GRMZM2G117574	1
30473	GRMZM2G117564	1
30470	GRMZM2G117544	1
30468	GRMZM2G117531	1
30463	GRMZM2G117507	1
30454	GRMZM2G117465	1
30451	GRMZM2G117458	1
30435	GRMZM2G117405	1
30422	GRMZM2G117378	1
30474	GRMZM2G117572	1
30807	GRMZM2G119150	1
30505	GRMZM2G117677	1
30508	GRMZM2G117700	1
30579	GRMZM2G117999	1
30564	GRMZM2G117968	1
30563	GRMZM2G117963	1
30560	GRMZM2G117956	1
30555	GRMZM2G117935	1
30552	GRMZM2G117900	1
30550	GRMZM2G117878	1
30506	GRMZM2G117680	1
30547	GRMZM2G117870	1
30537	GRMZM2G117836	1
30529	GRMZM2G117796	1
30528	GRMZM2G117786	1
30527	GRMZM2G117779	1
30522	GRMZM2G117763	1
30521	GRMZM2G117755	1
30518	GRMZM2G117754	1
30515	GRMZM2G117746	1
30512	GRMZM2G117707	1
30510	GRMZM2G117706	1
30421	GRMZM2G117369	1
30809	GRMZM2G119169	1
31028	GRMZM2G119864	1
31027	GRMZM2G119852	1
31026	GRMZM2G119850	1
31008	GRMZM2G119783	1
31006	GRMZM2G119778	1
31004	GRMZM2G119773	1
30998	GRMZM2G119759	1
30991	GRMZM2G119749	1
30987	GRMZM2G119745	1
30986	GRMZM2G119740	1
30974	GRMZM2G119722	1
30971	GRMZM2G119720	1
30968	GRMZM2G119717	1
31032	GRMZM2G119881	1
31036	GRMZM2G119894	1
31046	GRMZM2G119933	1
31118	GRMZM2G120329	1
31107	GRMZM2G120302	1
31105	GRMZM2G120300	1
31097	GRMZM2G120257	1
31094	GRMZM2G120202	1
31091	GRMZM2G120175	1
31084	GRMZM2G120163	1
31080	GRMZM2G120132	1
31073	GRMZM2G120085	1
30967	GRMZM2G119714	1
31070	GRMZM2G120079	1
31067	GRMZM2G120069	1
31065	GRMZM2G120047	1
31064	GRMZM2G120035	1
31061	GRMZM2G120016	1
31056	GRMZM2G119998	1
31054	GRMZM2G119970	1
31050	GRMZM2G119941	1
30962	GRMZM2G119703	1
30888	GRMZM2G119471	1
30886	GRMZM2G119468	1
30880	GRMZM2G119411	1
30876	GRMZM2G119393	1
30865	GRMZM2G119345	1
30862	GRMZM2G119316	1
30859	GRMZM2G119305	1
30857	GRMZM2G119300	1
30841	GRMZM2G119258	1
30840	GRMZM2G119256	1
30834	GRMZM2G119249	1
30830	GRMZM2G119248	1
30824	GRMZM2G119219	1
30814	GRMZM2G119175	1
30891	GRMZM2G119482	1
30897	GRMZM2G119494	1
30960	GRMZM2G119696	1
30957	GRMZM2G119691	1
30956	GRMZM2G119689	1
30938	GRMZM2G119623	1
30933	GRMZM2G119583	1
30931	GRMZM2G119578	1
30929	GRMZM2G119566	1
30927	GRMZM2G119546	1
30892	GRMZM2G119483	1
30916	GRMZM2G119517	1
30912	GRMZM2G119516	1
30905	GRMZM2G119511	1
30904	GRMZM2G119499	1
30902	GRMZM2G119496	1
30917	GRMZM2G119521	1
31119	GRMZM2G120362	1
30418	GRMZM2G117365	1
29846	GRMZM2G114758	1
29839	GRMZM2G114751	1
29838	GRMZM2G114748	1
29837	GRMZM2G114739	1
29835	GRMZM2G114707	1
29833	GRMZM2G114706	1
29817	GRMZM2G114675	1
29814	GRMZM2G114673	1
29812	GRMZM2G114672	1
29802	GRMZM2G114642	1
29789	GRMZM2G114592	1
29788	GRMZM2G114588	1
29784	GRMZM2G114578	1
29782	GRMZM2G114575	1
29775	GRMZM2G114570	1
29849	GRMZM2G114772	1
29857	GRMZM2G114793	1
29978	GRMZM2G115420	1
29966	GRMZM2G115372	1
29959	GRMZM2G115342	1
29946	GRMZM2G115257	1
29942	GRMZM2G115245	1
29938	GRMZM2G115198	1
29928	GRMZM2G115162	1
29927	GRMZM2G115156	1
29917	GRMZM2G115105	1
29915	GRMZM2G115077	1
29913	GRMZM2G115065	1
29910	GRMZM2G115047	1
29908	GRMZM2G115013	1
29901	GRMZM2G114988	1
29881	GRMZM2G114904	1
29880	GRMZM2G114899	1
29877	GRMZM2G114895	1
29874	GRMZM2G114888	1
29919	GRMZM2G115124	1
29770	GRMZM2G114557	1
29625	GRMZM2G113873	1
29623	GRMZM2G113866	1
29622	GRMZM2G113863	1
29619	GRMZM2G113844	1
29614	GRMZM2G113815	1
29611	GRMZM2G113794	1
29605	GRMZM2G113771	1
29604	GRMZM2G113761	1
29596	GRMZM2G113726	1
29588	GRMZM2G113696	1
29585	GRMZM2G113668	1
29581	GRMZM2G113653	1
29576	GRMZM2G113640	1
29561	GRMZM2G113618	1
29560	GRMZM2G113613	1
29558	GRMZM2G113596	1
29984	GRMZM2G115442	1
29630	GRMZM2G113902	1
29634	GRMZM2G113928	1
29762	GRMZM2G114550	1
29753	GRMZM2G114484	1
29752	GRMZM2G114471	1
29751	GRMZM2G114469	1
29740	GRMZM2G114427	1
29739	GRMZM2G114399	1
29731	GRMZM2G114394	1
29703	GRMZM2G114276	1
29702	GRMZM2G114255	1
29632	GRMZM2G113911	1
29678	GRMZM2G114131	1
29672	GRMZM2G114127	1
29665	GRMZM2G114098	1
29664	GRMZM2G114093	1
29653	GRMZM2G114036	1
29647	GRMZM2G113995	1
29638	GRMZM2G113967	1
29637	GRMZM2G113959	1
29987	GRMZM2G115451	1
30341	GRMZM2G116966	1
30324	GRMZM2G116878	1
30323	GRMZM2G116876	1
30322	GRMZM2G116872	1
30321	GRMZM2G116858	1
30318	GRMZM2G116846	1
30311	GRMZM2G116831	1
30310	GRMZM2G116823	1
30294	GRMZM2G116693	1
30290	GRMZM2G116685	1
30280	GRMZM2G116670	1
30268	GRMZM2G116634	1
30266	GRMZM2G116632	1
30254	GRMZM2G116592	1
30252	GRMZM2G116586	1
30241	GRMZM2G116563	1
30236	GRMZM2G116554	1
30222	GRMZM2G116514	1
30209	GRMZM2G116426	1
30206	GRMZM2G116386	1
30205	GRMZM2G116376	1
30204	GRMZM2G116360	1
30350	GRMZM2G117028	1
30351	GRMZM2G117030	1
30353	GRMZM2G117057	1
30415	GRMZM2G117357	1
30406	GRMZM2G117329	1
30405	GRMZM2G117321	1
30403	GRMZM2G117300	1
30402	GRMZM2G117298	1
30394	GRMZM2G117268	1
30393	GRMZM2G117250	1
30392	GRMZM2G117246	1
30390	GRMZM2G117240	1
30202	GRMZM2G116335	1
30385	GRMZM2G117230	1
30380	GRMZM2G117222	1
30374	GRMZM2G117198	1
30369	GRMZM2G117189	1
30365	GRMZM2G117153	1
30364	GRMZM2G117146	1
30357	GRMZM2G117064	1
30356	GRMZM2G117060	1
30200	GRMZM2G116327	1
30056	GRMZM2G115766	1
30053	GRMZM2G115757	1
30050	GRMZM2G115755	1
30045	GRMZM2G115716	1
30043	GRMZM2G115705	1
30033	GRMZM2G115660	1
30031	GRMZM2G115658	1
30029	GRMZM2G115646	1
30057	GRMZM2G115772	1
30026	GRMZM2G115635	1
30023	GRMZM2G115630	1
30022	GRMZM2G115628	1
30017	GRMZM2G115615	1
30014	GRMZM2G115612	1
30003	GRMZM2G115564	1
30000	GRMZM2G115518	1
29996	GRMZM2G115504	1
29989	GRMZM2G115453	1
30025	GRMZM2G115633	1
30067	GRMZM2G115805	1
30184	GRMZM2G116279	1
30183	GRMZM2G116273	1
30182	GRMZM2G116271	1
30181	GRMZM2G116258	1
30177	GRMZM2G116243	1
30171	GRMZM2G116204	1
30155	GRMZM2G116151	1
30149	GRMZM2G116135	1
30059	GRMZM2G115773	1
30146	GRMZM2G116133	1
30133	GRMZM2G116086	1
30123	GRMZM2G116034	1
